ma_hoa_don,ma_hang,so_luong,don_gia,giam_gia_phan_tram,giam_gia,gia_ban,thanh_tien,thoi_gian
HD000001,SP1081,1,331000,0,0,331000,331000,2026-04-10T00:00:00
HD000001,SP1013,4,307000,15,184200,307000,1043800,2026-04-10T00:00:00
HD000001,SP1083,2,17000,15,5100,17000,28900,2026-04-10T00:00:00
HD000002,SP1070,5,323000,0,0,323000,1615000,2026-05-01T00:00:00
HD000002,SP1047,2,33000,0,0,33000,66000,2026-05-01T00:00:00
HD000002,SP1068,4,104000,0,0,104000,416000,2026-05-01T00:00:00
HD000003,SP1010,4,354000,0,0,354000,1416000,2026-04-21T00:00:00
HD000003,SP1019,5,50000,0,0,50000,250000,2026-04-21T00:00:00
HD000003,SP1097,4,247000,5,49400,247000,938600,2026-04-21T00:00:00
HD000003,SP1029,4,409000,0,0,409000,1636000,2026-04-21T00:00:00
HD000003,SP1087,3,231000,0,0,231000,693000,2026-04-21T00:00:00
HD000004,SP1080,3,235000,0,0,235000,705000,2026-04-25T00:00:00
HD000004,SP1072,2,300000,0,0,300000,600000,2026-04-25T00:00:00
HD000005,SP1084,1,210000,0,0,210000,210000,2026-05-07T00:00:00
HD000005,SP1053,3,312000,0,0,312000,936000,2026-05-07T00:00:00
HD000005,SP1015,1,412000,10,41200,412000,370800,2026-05-07T00:00:00
HD000005,SP1018,4,449000,0,0,449000,1796000,2026-05-07T00:00:00
HD000006,SP1054,4,255000,0,0,255000,1020000,2026-05-01T00:00:00
HD000006,SP1084,3,210000,15,94500,210000,535500,2026-05-01T00:00:00
HD000006,SP1013,2,307000,0,0,307000,614000,2026-05-01T00:00:00
HD000007,SP1070,4,323000,0,0,323000,1292000,2026-04-24T00:00:00
HD000007,SP1083,1,17000,0,0,17000,17000,2026-04-24T00:00:00
HD000007,SP1046,4,152000,10,60800,152000,547200,2026-04-24T00:00:00
HD000007,SP1008,5,366000,0,0,366000,1830000,2026-04-24T00:00:00
HD000008,SP1073,5,196000,0,0,196000,980000,2026-04-20T00:00:00
HD000008,SP1027,2,15000,0,0,15000,30000,2026-04-20T00:00:00
HD000008,SP1009,2,416000,0,0,416000,832000,2026-04-20T00:00:00
HD000009,SP1017,2,136000,5,13600,136000,258400,2026-05-24T00:00:00
HD000009,SP1070,2,323000,10,64600,323000,581400,2026-05-24T00:00:00
HD000009,SP1033,5,172000,0,0,172000,860000,2026-05-24T00:00:00
HD000010,SP1096,4,241000,0,0,241000,964000,2026-03-15T00:00:00
HD000010,SP1009,3,416000,0,0,416000,1248000,2026-03-15T00:00:00
HD000011,SP1094,5,169000,0,0,169000,845000,2026-05-12T00:00:00
HD000011,SP1085,1,203000,20,40600,203000,162400,2026-05-12T00:00:00
HD000012,SP1042,2,328000,15,98400,328000,557600,2026-05-04T00:00:00
HD000012,SP1078,5,100000,0,0,100000,500000,2026-05-04T00:00:00
HD000013,SP1013,5,307000,0,0,307000,1535000,2026-05-06T00:00:00
HD000013,SP1090,2,228000,0,0,228000,456000,2026-05-06T00:00:00
HD000013,SP1015,2,412000,0,0,412000,824000,2026-05-06T00:00:00
HD000013,SP1084,4,210000,0,0,210000,840000,2026-05-06T00:00:00
HD000013,SP1099,1,454000,0,0,454000,454000,2026-05-06T00:00:00
HD000014,SP1088,1,475000,0,0,475000,475000,2026-04-10T00:00:00
HD000014,SP1061,1,278000,0,0,278000,278000,2026-04-10T00:00:00
HD000014,SP1009,3,416000,0,0,416000,1248000,2026-04-10T00:00:00
HD000015,SP1053,4,312000,0,0,312000,1248000,2026-05-19T00:00:00
HD000015,SP1046,1,152000,0,0,152000,152000,2026-05-19T00:00:00
HD000016,SP1020,2,397000,0,0,397000,794000,2026-04-23T00:00:00
HD000016,SP1085,3,203000,0,0,203000,609000,2026-04-23T00:00:00
HD000016,SP1062,3,275000,15,123750,275000,701250,2026-04-23T00:00:00
HD000017,SP1078,3,100000,15,45000,100000,255000,2026-05-27T00:00:00
HD000017,SP1085,3,203000,0,0,203000,609000,2026-05-27T00:00:00
HD000018,SP1009,1,416000,0,0,416000,416000,2026-04-01T00:00:00
HD000018,SP1019,2,50000,0,0,50000,100000,2026-04-01T00:00:00
HD000018,SP1095,4,453000,0,0,453000,1812000,2026-04-01T00:00:00
HD000018,SP1082,3,51000,0,0,51000,153000,2026-04-01T00:00:00
HD000018,SP1004,3,359000,0,0,359000,1077000,2026-04-01T00:00:00
HD000019,SP1021,1,267000,0,0,267000,267000,2026-03-19T00:00:00
HD000019,SP1097,3,247000,0,0,247000,741000,2026-03-19T00:00:00
HD000019,SP1080,4,235000,0,0,235000,940000,2026-03-19T00:00:00
HD000020,SP1056,5,336000,0,0,336000,1680000,2026-04-12T00:00:00
HD000020,SP1015,3,412000,20,247200,412000,988800,2026-04-12T00:00:00
HD000020,SP1037,5,99000,10,49500,99000,445500,2026-04-12T00:00:00
HD000020,SP1087,3,231000,0,0,231000,693000,2026-04-12T00:00:00
HD000021,SP1001,4,17000,0,0,17000,68000,2026-04-10T00:00:00
HD000021,SP1064,4,343000,0,0,343000,1372000,2026-04-10T00:00:00
HD000022,SP1010,4,354000,5,70800,354000,1345200,2026-05-19T00:00:00
HD000022,SP1051,3,468000,0,0,468000,1404000,2026-05-19T00:00:00
HD000022,SP1095,5,453000,0,0,453000,2265000,2026-05-19T00:00:00
HD000022,SP1006,4,173000,0,0,173000,692000,2026-05-19T00:00:00
HD000023,SP1089,2,416000,0,0,416000,832000,2026-04-19T00:00:00
HD000023,SP1047,4,33000,0,0,33000,132000,2026-04-19T00:00:00
HD000023,SP1012,4,188000,0,0,188000,752000,2026-04-19T00:00:00
HD000023,SP1056,3,336000,0,0,336000,1008000,2026-04-19T00:00:00
HD000023,SP1014,2,193000,5,19300,193000,366700,2026-04-19T00:00:00
HD000024,SP1045,2,350000,15,105000,350000,595000,2026-04-02T00:00:00
HD000024,SP1094,2,169000,0,0,169000,338000,2026-04-02T00:00:00
HD000024,SP1083,2,17000,0,0,17000,34000,2026-04-02T00:00:00
HD000024,SP1019,1,50000,0,0,50000,50000,2026-04-02T00:00:00
HD000025,SP1088,3,475000,0,0,475000,1425000,2026-05-11T00:00:00
HD000025,SP1073,3,196000,0,0,196000,588000,2026-05-11T00:00:00
