ma_hang,ten_hang,thuong_hieu,loai_hang,nhom_hang,gia_ban,gia_von,ton_kho,ma_vach,don_vi_tinh,quy_doi,trang_thai,thoi_gian_tao
SP1001,Bánh mì tại,Vinamilk,Hàng hóa,"Bánh, kẹo, snack >> Bánh mì",127958,149867,102,,Cái,1,1,2026-06-08T09:22:13.621406
SP1002,Bánh quy có,Acecook,Hàng hóa,"Bánh, kẹo, snack >> Bánh quy",371838,262178,81,,Cái,1,1,2026-06-08T09:22:13.621406
SP1003,Kẹo bên,Vissan,Hàng hóa,"Bánh, kẹo, snack >> Kẹo",116268,210892,112,,Cái,1,1,2026-06-08T09:22:13.621406
SP1004,Snack mặn tại,Lipton,Hàng hóa,"Bánh, kẹo, snack >> Snack mặn",143337,90498,97,,Cái,1,1,2026-06-08T09:22:13.621406
SP1005,Bánh mì tại,Staff,Hàng hóa,"Bánh, kẹo, snack >> Bánh mì",394468,178203,113,,Cái,1,1,2026-06-08T09:22:13.621406
SP1006,Bánh quy nào,Vinamilk,Hàng hóa,"Bánh, kẹo, snack >> Bánh quy",284167,44090,159,,Cái,1,1,2026-06-08T09:22:13.621406
SP1007,Kẹo trong,Coca,Hàng hóa,"Bánh, kẹo, snack >> Kẹo",70820,265913,97,,Cái,1,1,2026-06-08T09:22:13.621406
SP1008,Snack mặn bên,Acecook,Hàng hóa,"Bánh, kẹo, snack >> Snack mặn",200027,330069,47,,Cái,1,1,2026-06-08T09:22:13.621406
SP1009,Bánh mì với,Staff,Hàng hóa,"Bánh, kẹo, snack >> Bánh mì",205041,270455,197,,Cái,1,1,2026-06-08T09:22:13.621406
SP1010,Bánh quy trong,Lipton,Hàng hóa,"Bánh, kẹo, snack >> Bánh quy",241796,217176,67,,Cái,1,1,2026-06-08T09:22:13.621406
SP1011,Kẹo bên,Lipton,Hàng hóa,"Bánh, kẹo, snack >> Kẹo",427909,261795,98,,Cái,1,1,2026-06-08T09:22:13.621406
SP1012,Snack mặn nào,Acecook,Hàng hóa,"Bánh, kẹo, snack >> Snack mặn",398752,159730,179,,Cái,1,1,2026-06-08T09:22:13.621406
SP1013,Bánh mì từ,Staff,Hàng hóa,"Bánh, kẹo, snack >> Bánh mì",155503,133523,197,,Cái,1,1,2026-06-08T09:22:13.621406
SP1014,Bánh quy có,Vinamilk,Hàng hóa,"Bánh, kẹo, snack >> Bánh quy",129855,68725,199,,Cái,1,1,2026-06-08T09:22:13.621406
SP1015,Kẹo như,Unilever,Hàng hóa,"Bánh, kẹo, snack >> Kẹo",90654,70435,64,,Cái,1,1,2026-06-08T09:22:13.621406
SP1016,Snack mặn cái,Pepsi,Hàng hóa,"Bánh, kẹo, snack >> Snack mặn",334947,34551,140,,Cái,1,1,2026-06-08T09:22:13.621406
SP1017,Bánh mì như,Acecook,Hàng hóa,"Bánh, kẹo, snack >> Bánh mì",337236,6890,144,,Cái,1,1,2026-06-08T09:22:13.621406
SP1018,Bánh quy cái,Coca,Hàng hóa,"Bánh, kẹo, snack >> Bánh quy",495492,259840,176,,Cái,1,1,2026-06-08T09:22:13.621406
SP1019,Kẹo tại,Unilever,Hàng hóa,"Bánh, kẹo, snack >> Kẹo",355457,144699,98,,Cái,1,1,2026-06-08T09:22:13.621406
SP1020,Snack mặn tại,Knorr,Hàng hóa,"Bánh, kẹo, snack >> Snack mặn",245931,242629,18,,Cái,1,1,2026-06-08T09:22:13.621406
SP1021,Nước ngọt cái,Staff,Hàng hóa,Đồ uống >> Nước ngọt,423113,71148,139,,Cái,1,1,2026-06-08T09:22:13.621406
SP1022,Nước trái cây có,Vinamilk,Hàng hóa,Đồ uống >> Nước trái cây,130243,254995,120,,Cái,1,1,2026-06-08T09:22:13.622406
SP1023,Trà từ,Lipton,Hàng hóa,Đồ uống >> Trà,160555,51555,17,,Cái,1,1,2026-06-08T09:22:13.622406
SP1024,Cà phê tại,Unilever,Hàng hóa,Đồ uống >> Cà phê,378654,109530,90,,Cái,1,1,2026-06-08T09:22:13.622406
SP1025,Nước ngọt tại,Lipton,Hàng hóa,Đồ uống >> Nước ngọt,491283,203551,141,,Cái,1,1,2026-06-08T09:22:13.622406
SP1026,Nước trái cây có,Staff,Hàng hóa,Đồ uống >> Nước trái cây,287601,211261,63,,Cái,1,1,2026-06-08T09:22:13.622406
SP1027,Trà cái,Staff,Hàng hóa,Đồ uống >> Trà,347097,318139,63,,Cái,1,1,2026-06-08T09:22:13.622406
SP1028,Cà phê bên,Coca,Hàng hóa,Đồ uống >> Cà phê,277836,205283,171,,Cái,1,1,2026-06-08T09:22:13.622406
SP1029,Nước ngọt trong,Acecook,Hàng hóa,Đồ uống >> Nước ngọt,43065,226165,23,,Cái,1,1,2026-06-08T09:22:13.622406
SP1030,Nước trái cây có,Coca,Hàng hóa,Đồ uống >> Nước trái cây,431822,14534,199,,Cái,1,1,2026-06-08T09:22:13.622406
SP1031,Trà bên,Coca,Hàng hóa,Đồ uống >> Trà,61591,223884,91,,Cái,1,1,2026-06-08T09:22:13.622406
SP1032,Cà phê nào,Pepsi,Hàng hóa,Đồ uống >> Cà phê,88798,12268,33,,Cái,1,1,2026-06-08T09:22:13.622406
SP1033,Nước ngọt từ,Knorr,Hàng hóa,Đồ uống >> Nước ngọt,280329,197776,197,,Cái,1,1,2026-06-08T09:22:13.622406
SP1034,Nước trái cây như,Knorr,Hàng hóa,Đồ uống >> Nước trái cây,407787,239584,166,,Cái,1,1,2026-06-08T09:22:13.622406
SP1035,Trà cái,Acecook,Hàng hóa,Đồ uống >> Trà,319358,51984,80,,Cái,1,1,2026-06-08T09:22:13.622406
